2025-05-10 20:55 [START]  	driver started
2025-05-10 20:55 [CMD]  	password
2025-05-10 20:55 [PWD]  	set from input
2025-05-10 20:55 [PWD]  	set successfully
2025-05-10 20:56 [CMD]  	encrypt
2025-05-10 20:56 [ENC]  	set from input
2025-05-10 20:56 [ENC]  	encrypted successfully: UIH ESEX
2025-05-10 20:56 [CMD]  	decrypt
2025-05-10 20:56 [DEC]  	choose from history
2025-05-10 20:56 [HIST]  	logging history
2025-05-10 20:56 [DEC]  	decrypted successfully: NEW TEXT
2025-05-10 20:56 [CMD]  	history
2025-05-10 20:56 [HIST]  	logging history
2025-05-10 20:56 [QUIT]  	driver ended
